HDI,EGD,CO2,GDP,NRP
0.492,0.337274325,0.288852865,0.096719296,1.232784523
0.503,0.291732419,0.289598328,0.140631004,0.802299122
0.514,0.428385303,0.298227163,0.141383685,1.025935185
0.526,0.439082608,0.34063114,0.185187122,0.769223872
0.536,0.4362214,0.368026206,0.224637095,0.673816649
0.55,0.551033693,0.425723683,0.281133604,0.728047436
0.56,0.692192929,0.467447103,0.32900119,0.700278823
0.571,0.607521116,0.536992508,0.35293444,0.575041182
0.58,0.333920178,0.589586791,0.352783068,0.455859371
0.589,0.805979677,0.594093627,0.367156884,0.564047625
0.599,1.810912976,0.648189364,0.394583137,0.969222819
0.609,1.469138801,0.710648707,0.409497734,0.798035643
0.619,1.289189039,0.824577094,0.434810292,0.742549136
0.628,1.52914673,0.870242185,0.485450908,0.795488668
0.637,2.895974913,1.033295251,0.551903505,1.176429105
0.645,3.922265978,1.110972727,0.693189843,1.213419654
0.653,4.23130204,1.130049624,0.790592516,1.223053902
0.66,3.58834681,1.240379726,0.913312332,1.141318536
0.665,4.59749967,1.373701986,1.158101627,1.39196884
0.671,2.330005839,1.529666152,1.225845009,0.740088651
0.676,3.289013423,1.732201659,1.684011772,0.748128092
0.681,5.021350173,1.765420021,1.95355715,0.906944429
0.682,4.91038698,1.741550848,2.19023244,0.729867693
0.687,3.916099259,1.820112056,2.367499331,0.591331154
0.69,4.077936479,1.980575457,2.558778758,0.566094916
0.697,2.169785294,2.185814559,2.595234844,0.338333033
0.702,1.573733273,2.384159513,2.760717101,0.268357594
0.706,1.876893855,2.444644781,2.992071532,0.321350444
0.711,2.202450296,3.014711266,3.267225069,0.326009969
0.717,1.66541942,3.567848369,3.49109141,0.250068261
0.726,0.787144137,3.676440088,3.586347176,0.181088196
0.581,0.391155417,1.593487844,1.545276982,0.120375711
0.591,0.31229185,1.718424813,1.751068652,0.08097329
0.601,0.388100743,1.877749213,1.957405423,0.084272555
0.611,0.453938782,2.135342095,2.23084118,0.072807227
0.619,0.512949112,2.349854573,2.502708649,0.073782073
0.625,0.558888358,2.630100742,2.848622456,0.079469861
0.634,0.792431292,2.916306323,3.039892139,0.088465411
0.639,0.940488954,2.975987122,2.46241438,0.111948972
0.643,0.571615009,2.597916208,1.841042955,0.113200555
0.653,0.837723874,2.70786069,2.028568771,0.110201089
0.663,1.639783398,2.678777546,2.004107059,0.203569798
0.677,1.338647921,2.808749463,1.889971411,0.194127428
0.688,1.277635652,2.967397137,2.091178903,0.174432562
0.698,1.856419441,3.020757876,2.350845496,0.22916114
0.707,2.550360981,3.26804608,2.647260733,0.239381751
0.715,3.764240631,3.374235962,2.876245773,0.284717141
0.721,4.409349239,3.388047487,3.343785952,0.288566054
0.732,4.678871997,3.470192492,3.934690909,0.275732969
0.735,7.031502415,3.473931644,4.32779747,0.362309704
0.738,4.195276332,3.315705418,4.154187447,0.240093157
0.743,6.329662614,3.526681931,4.996372098,0.273568032
0.749,8.186257763,3.477784925,5.396643586,0.314709998
0.752,8.430954787,3.705856454,5.748632721,0.290571167
0.754,8.100212396,3.80405746,6.041133948,0.261852748
0.785,8.178494475,3.736041694,5.822377783,0.282282717
0.789,5.286355174,3.824676098,5.708794091,0.193092321
0.793,4.064497538,3.794470231,5.854463908,0.155321888
0.795,4.614032624,3.767896681,6.43678966,0.163215261
0.796,6.631289132,3.718427852,7.12455881,0.181670643
0.801,5.985801262,3.849043757,7.628576033,0.151242492
0.8,3.360602948,3.714255806,7.00178546,0.11095684
0.598,0.035933365,0.663899149,0.82048718,0.169171115
0.6,0.012998526,0.641534894,0.821452244,0.091550817
0.604,0.037903461,0.678669162,0.936148564,0.072071357
0.606,0.020895143,0.719968356,0.938762281,0.05396521
0.611,0.004386836,0.757868227,1.081434307,0.058210256
0.614,0.007127402,0.886850324,1.222292515,0.079066796
0.622,0.003294623,0.942981595,1.334105656,0.05663145
0.627,0.00180083,1.023775999,1.294111972,0.061786606
0.632,0.003343318,0.991653887,1.00000669,0.054303778
0.635,0.001779514,0.939305957,1.123163571,0.035002082
0.635,0.005285239,0.922837864,1.073264436,0.046460531
0.64,0.011147964,0.882362848,0.991147982,0.03648227
0.646,0.089966879,0.876627897,1.037174788,0.055900408
0.652,0.152122165,0.88183504,1.049386495,0.077266376
0.658,0.209816543,0.883116735,1.122855522,0.087587114
0.659,0.329313077,0.883249431,1.245286584,0.089117029
0.659,0.30340669,0.788442016,1.452221405,0.146997345
0.663,0.415949404,0.817880458,1.741603511,0.290665632
0.666,0.686909312,0.822328628,1.990356129,0.1523407
0.666,0.480329938,0.821133982,1.893281641,0.117473989
0.673,0.672577454,0.865602879,2.201776828,0.211755802
0.677,0.902457399,0.856822589,2.431199961,0.284367321
0.684,0.659895453,0.878944848,2.671777522,0.155356736
0.689,0.541580441,0.957913716,2.847567943,0.118594128
0.693,0.640015907,1.00490795,2.935928598,0.150896509
0.696,0.405701078,1.077253514,2.974296917,0.075814827
0.696,0.4066319,1.152751307,3.038152037,0.066159717
0.7,0.476042292,1.250314542,3.077434419,0.096459644
0.706,0.705026532,1.28139073,3.194672701,0.094378345
0.714,0.632609819,1.32152779,3.413849044,0.078530019
0.705,0.427592515,1.189679452,3.224422811,0.076411279
0.333,0.873799084,0.101821584,0.052748556,2.552338311
0.344,0.557381885,0.098700772,0.050880176,2.488043247
0.356,0.577487706,0.10374459,0.058479151,2.936859448
0.363,0.537256449,0.115190131,0.075691519,2.008509271
0.369,0.502142604,0.133391253,0.104689652,1.722758569
0.373,0.406825221,0.161767022,0.123347761,1.906754324
0.38,0.427901072,0.168333323,0.141019844,1.698860998
0.383,0.397874342,0.164829719,0.107392967,1.508307123
0.39,0.287908051,0.177755574,0.145103666,1.465210091
0.398,0.387566521,0.194064887,0.188421948,0.92937269
0.407,1.422516936,0.207308867,0.195550996,1.084565692
0.415,2.658802414,0.181502371,0.140776164,1.583044119
0.425,3.165846782,0.179456943,0.145817534,1.740191897
0.435,4.711461974,0.223479126,0.223063776,2.018394344
0.445,6.298527416,0.216910373,0.223229847,1.886446102
0.456,9.608435698,0.227478687,0.251170357,1.878204886
0.466,9.292992511,0.209154939,0.301581914,1.775773692
0.475,9.511501746,0.216851268,0.416600432,1.581462379
0.461,10.84637865,0.163014237,0.653866,1.396412005
0.497,7.157340482,0.150382011,0.752944036,0.897077902
0.506,9.630868878,0.164631248,1.003033455,0.798804207
0.517,11.85258295,0.174575428,1.204496472,0.736146335
0.526,10.60515791,0.23824039,1.193547649,0.595623958
0.538,10.11745658,0.26837013,1.189964765,0.585283366
0.548,14.37900721,0.333541952,1.281438718,0.788242876
0.557,15.85010685,0.36970746,1.159340201,0.661317909
0.567,12.65532811,0.421272122,1.218217034,0.681087216
0.58,9.383683786,0.6214961,1.263285263,0.782010372
0.595,12.1521477,0.622498221,1.288418087,0.670278022
0.608,12.35742475,0.640928811,1.415379676,0.588188183
0.615,9.199555183,0.634080348,1.479613689,0.466301427
0.649,4.203666312,3.117818784,2.513241395,2.688075633
0.657,2.352500884,3.612950191,2.727528585,2.126869393
0.665,2.52625917,3.625830342,3.193635381,2.018900473
0.671,2.71001981,3.834336208,3.511532629,1.730027554
0.679,2.515835161,4.07067788,3.802107621,1.523843459
0.686,3.004827941,4.286163781,4.405116764,1.387610076
0.696,4.131805156,4.767966399,4.874819725,1.271248649
0.707,3.914167501,4.98914358,4.706314913,1.107997578
0.71,2.199146607,4.845601728,3.308835653,1.009535171
0.715,3.177935144,5.116744838,3.538362993,1.00710448
0.726,6.10060354,5.419703075,4.087562593,1.256753998
0.726,4.761920049,5.498931996,3.941122666,1.066695136
0.725,4.814472564,5.64888519,4.177104942,0.981548672
0.73,6.084216407,5.821076338,4.454526764,1.215603648
0.731,8.799395106,6.230942287,4.924338111,1.198730109
0.728,11.82043195,6.440996321,5.536837483,1.388427652
0.732,12.6863339,6.549858347,6.13715054,1.347611415
0.744,12.07785421,6.993229591,7.14400024,1.262885235
0.754,16.48983599,7.318407813,8.343303382,1.338677191
0.761,9.355957555,6.431278592,7.167877194,0.965215518
0.768,12.64923836,6.959707228,8.880145805,0.961503786
0.771,16.05426345,6.935319956,10.20937194,0.994490617
0.777,15.52601372,6.925634921,10.60151046,0.920599203
0.782,14.51187756,7.402951013,10.72766902,0.846715107
0.787,15.21159863,7.719435953,11.04558012,0.8645074
0.792,11.12348957,7.603420444,9.699600463,0.657091207
