CO2,REC,NRR,GR,GDP
0.288852865,0.1911,0.337274325,2.185104629,0.096719296
0.289598328,0.2065,0.291732419,2.138311205,0.140631004
0.298227163,0.2459,0.428385303,2.070218246,0.141383685
0.34063114,0.2852,0.439082608,1.968859404,0.185187122
0.368026206,0.2697,0.4362214,1.844018181,0.224637095
0.425723683,0.2654,0.017202958,0.551033693,0.281133604
0.467447103,0.3669,0.015969319,0.692192929,0.32900119
0.536992508,0.3737,0.014730303,0.607521116,0.014730303
0.589586791,0.3791,0.013967741,0.333920178,0.352783068
0.594093627,0.3633,0.012821758,0.805979677,0.367156884
0.648189364,0.3458,0.011168674,1.810912976,0.394583137
0.710648707,0.3697,0.010283941,1.469138801,0.409497734
0.824577094,0.3926,0.010277176,1.289189039,0.010277176
0.870242185,0.419,0.010282926,1.52914673,0.485450908
1.033295251,0.4425,0.010201163,2.895974913,0.551903505
1.110972727,0.4415,0.010043618,3.922265978,0.693189843
1.130049624,0.4577,0.009691693,4.23130204,0.790592516
1.240379726,0.5083,0.009607678,3.58834681,0.009607678
1.373701986,0.522,0.009802549,4.59749967,1.158101627
1.529666152,0.5614,0.010293921,2.330005839,1.225845009
1.732201659,0.5773,0.010674298,3.289013423,1.684011772
1.765420021,0.5932,0.010674934,5.021350173,1.95355715
1.741550848,0.5923,0.010720132,4.91038698,2.19023244
1.820112056,0.6053,0.010763795,3.916099259,0.010763795
1.980575457,0.6261,0.010663988,4.077936479,2.558778758
2.185814559,0.6488,0.010422709,2.169785294,2.595234844
2.384159513,0.6777,0.010092266,1.573733273,0.010092266
2.444644781,0.7062,0.0096872,1.876893855,2.992071532
3.014711266,0.7452,0.0093284,2.202450296,3.267225069
3.567848369,0.7546,0.009044912,1.66541942,3.49109141
3.676440088,0.7591,0.009062992,0.787144137,3.586347176
1.593487844,0.3351,0.016511303,0.039115542,1.545276982
1.718424813,0.3299,0.015655911,0.031229185,1.751068652
1.877749213,0.3177,0.014847464,0.038810074,1.957405423
2.135342095,0.2639,0.014594013,0.045393878,2.23084118
2.349854573,0.2382,0.014330617,0.051294911,0.014330617
2.630100742,0.2256,0.013806719,0.055888836,2.848622456
2.916306323,0.2103,0.013144434,0.079243129,3.039892139
2.975987122,0.2111,0.012838637,0.094048895,0.012838637
2.597916208,0.215,0.012321224,0.057161501,1.841042955
2.70786069,0.2115,0.011232036,0.083772387,2.028568771
2.678777546,0.2182,0.009942807,0.16397834,2.004107059
2.808749463,0.1989,0.00920627,0.133864792,0.00920627
2.967397137,0.1991,0.008957234,0.127763565,2.091178903
3.020757876,0.2021,0.008595061,0.185641944,2.350845496
3.26804608,0.1989,0.008213094,0.255036098,2.647260733
3.374235962,0.2011,0.007781389,0.376424063,2.876245773
3.388047487,0.2053,0.007539943,0.440934924,3.343785952
3.470192492,0.2161,0.007619161,0.4678872,0.007619161
3.473931644,0.2263,0.007476238,0.703150242,4.32779747
3.315705418,0.2283,0.007183814,0.419527633,4.154187447
3.526681931,0.2283,0.006714033,0.632966261,4.996372098
3.477784925,0.2296,0.006458575,0.818625776,5.396643586
3.705856454,0.2356,0.006443446,0.843095479,5.748632721
3.80405746,0.2321,0.006077463,0.81002124,6.041133948
3.736041694,0.2441,0.005480052,0.817849448,5.822377783
3.824676098,0.2265,0.004754965,0.528635517,5.708794091
3.794470231,0.2243,0.004437719,0.406449754,5.854463908
3.767896681,0.2225,0.00411526,0.461403262,6.43678966
3.718427852,0.237,0.003233214,0.663128913,7.12455881
3.849043757,0.2395,0.002526912,0.598580126,7.628576033
3.714255806,0.2083,0.002351829,0.336060295,7.00178546
0.663899149,0.4928,0.016511303,0.003593337,0.82048718
0.641534894,0.5105,0.015655911,0.001299853,0.821452244
0.678669162,0.4753,0.014847464,0.003790346,0.936148564
0.719968356,0.4391,0.014594013,0.002089514,0.938762281
0.757868227,0.4292,0.014330617,0.000438684,1.081434307
0.886850324,0.3762,0.013806719,0.00071274,1.222292515
0.942981595,0.3571,0.013144434,0.000329462,1.334105656
1.023775999,0.3324,0.012838637,0.000180083,1.294111972
0.991653887,0.3276,0.012321224,0.000334332,1.00000669
0.939305957,0.3355,0.011232036,0.000177951,1.123163571
0.922837864,0.3384,0.009942807,0.000528524,1.073264436
0.882362848,0.328,0.00920627,0.001114796,0.991147982
0.876627897,0.3176,0.008957234,0.008996688,1.037174788
0.88183504,0.3081,0.008595061,0.015212217,1.049386495
0.883116735,0.301,0.008213094,0.020981654,1.122855522
0.883249431,0.3122,0.007781389,0.032931308,1.245286584
0.788442016,0.3317,0.007539943,0.030340669,1.452221405
0.817880458,0.3226,0.007619161,0.04159494,1.741603511
0.822328628,0.3373,0.007476238,0.068690931,1.990356129
0.821133982,0.3397,0.007183814,0.048032994,1.893281641
0.865602879,0.326,0.006714033,0.067257745,2.201776828
0.856822589,0.3371,0.006458575,0.09024574,2.431199961
0.878944848,0.3406,0.006443446,0.065989545,2.671777522
0.957913716,0.3305,0.006077463,0.054158044,2.847567943
